x1,y1,x2,y2
0.984230,-0.176895,1.971092,-0.015331
0.984168,-0.177240,1.970983,-0.015392
0.984105,-0.177585,1.970875,-0.015453
0.984043,-0.177930,1.970766,-0.015514
0.983981,-0.178275,1.970656,-0.015575
0.983918,-0.178620,1.970547,-0.015637
0.983855,-0.178965,1.970437,-0.015698
0.983793,-0.179310,1.970328,-0.015760
0.983730,-0.179655,1.970218,-0.015822
0.983667,-0.180000,1.970108,-0.015884
0.983603,-0.180345,1.969997,-0.015946
0.983540,-0.180690,1.969887,-0.016008
0.983477,-0.181035,1.969776,-0.016070
0.983413,-0.181381,1.969665,-0.016133
0.983349,-0.181726,1.969554,-0.016195
0.983285,-0.182071,1.969443,-0.016258
0.983221,-0.182416,1.969331,-0.016321
0.983157,-0.182761,1.969219,-0.016384
0.983093,-0.183106,1.969108,-0.016447
0.983029,-0.183451,1.968996,-0.016510
0.982964,-0.183797,1.968883,-0.016573
0.982900,-0.184142,1.968771,-0.016637
0.982835,-0.184487,1.968658,-0.016700
0.982770,-0.184832,1.968545,-0.016764
0.982705,-0.185178,1.968432,-0.016828
0.982640,-0.185523,1.968319,-0.016892
0.982575,-0.185868,1.968206,-0.016956
0.982509,-0.186213,1.968092,-0.017020
0.982444,-0.186559,1.967979,-0.017085
0.982378,-0.186904,1.967865,-0.017149
0.982312,-0.187249,1.967750,-0.017214
0.982247,-0.187595,1.967636,-0.017279
0.982181,-0.187940,1.967522,-0.017344
0.982114,-0.188285,1.967407,-0.017409
0.982048,-0.188631,1.967292,-0.017474
0.981982,-0.188976,1.967177,-0.017539
0.981915,-0.189321,1.967062,-0.017605
0.981849,-0.189667,1.966946,-0.017670
0.981782,-0.190012,1.966830,-0.017736
0.981715,-0.190357,1.966715,-0.017802
0.981648,-0.190703,1.966599,-0.017868
0.981581,-0.191048,1.966482,-0.017934
0.981513,-0.191394,1.966366,-0.018000
0.981446,-0.191739,1.966249,-0.018066
0.981378,-0.192084,1.966133,-0.018133
0.981311,-0.192430,1.966016,-0.018199
0.981243,-0.192775,1.965898,-0.018266
0.981175,-0.193121,1.965781,-0.018333
0.981107,-0.193466,1.965664,-0.018400
0.981039,-0.193812,1.965546,-0.018467
0.980970,-0.194157,1.965428,-0.018534
0.980902,-0.194503,1.965310,-0.018602
0.980833,-0.194848,1.965192,-0.018669
0.980765,-0.195194,1.965073,-0.018737
0.980696,-0.195539,1.964954,-0.018805
0.980627,-0.195885,1.964836,-0.018873
0.980558,-0.196230,1.964717,-0.018941
0.980489,-0.196576,1.964597,-0.019009
0.980419,-0.196921,1.964478,-0.019077
0.980350,-0.197267,1.964358,-0.019146
0.980280,-0.197612,1.964239,-0.019214
0.980211,-0.197958,1.964119,-0.019283
0.980141,-0.198304,1.963999,-0.019352
0.980071,-0.198649,1.963878,-0.019421
0.980001,-0.198995,1.963758,-0.019490
0.979930,-0.199340,1.963637,-0.019559
0.979860,-0.199686,1.963516,-0.019629
0.979789,-0.200031,1.963395,-0.019698
0.979719,-0.200377,1.963274,-0.019768
0.979648,-0.200723,1.963152,-0.019838
0.979577,-0.201068,1.963031,-0.019908
0.979506,-0.201414,1.962909,-0.019978
0.979435,-0.201759,1.962787,-0.020048
0.979364,-0.202105,1.962665,-0.020118
0.979292,-0.202451,1.962542,-0.020189
0.979221,-0.202796,1.962420,-0.020259
0.979149,-0.203142,1.962297,-0.020330
0.979078,-0.203488,1.962174,-0.020401
0.979006,-0.203833,1.962051,-0.020472
0.978934,-0.204179,1.961928,-0.020543
0.978861,-0.204525,1.961804,-0.020614
0.978789,-0.204870,1.961681,-0.020685
0.978717,-0.205216,1.961557,-0.020757
0.978644,-0.205562,1.961433,-0.020828
0.978572,-0.205907,1.961309,-0.020900
0.978499,-0.206253,1.961184,-0.020972
0.978426,-0.206599,1.961060,-0.021044
0.978353,-0.206944,1.960935,-0.021116
0.978280,-0.207290,1.960810,-0.021189
0.978206,-0.207636,1.960685,-0.021261
0.978133,-0.207981,1.960560,-0.021334
0.978059,-0.208327,1.960434,-0.021406
0.977986,-0.208673,1.960309,-0.021479
0.977912,-0.209018,1.960183,-0.021552
0.977838,-0.209364,1.960057,-0.021625
0.977764,-0.209710,1.959931,-0.021698
0.977689,-0.210055,1.959804,-0.021772
0.977615,-0.210401,1.959678,-0.021845
0.977541,-0.210747,1.959551,-0.021919
0.977466,-0.211093,1.959424,-0.021993
0.977391,-0.211438,1.959297,-0.022066
0.977316,-0.211784,1.959170,-0.022140
0.977242,-0.212130,1.959042,-0.022215
0.977166,-0.212475,1.958914,-0.022289
0.977091,-0.212821,1.958787,-0.022363
