theta1,theta2,p1,p2
-0.535213,-2.272480,-5.767783,-3.455019
-0.535534,-2.272879,-5.768032,-3.453006
-0.535855,-2.273278,-5.768280,-3.450994
-0.536177,-2.273676,-5.768527,-3.448983
-0.536498,-2.274074,-5.768772,-3.446972
-0.536820,-2.274472,-5.769017,-3.444962
-0.537141,-2.274870,-5.769261,-3.442953
-0.537463,-2.275268,-5.769503,-3.440945
-0.537784,-2.275665,-5.769745,-3.438938
-0.538106,-2.276062,-5.769985,-3.436931
-0.538427,-2.276459,-5.770225,-3.434925
-0.538749,-2.276856,-5.770463,-3.432920
-0.539071,-2.277253,-5.770700,-3.430916
-0.539392,-2.277650,-5.770936,-3.428912
-0.539714,-2.278046,-5.771171,-3.426909
-0.540035,-2.278442,-5.771405,-3.424907
-0.540357,-2.278838,-5.771638,-3.422906
-0.540679,-2.279234,-5.771870,-3.420905
-0.541000,-2.279630,-5.772101,-3.418906
-0.541322,-2.280025,-5.772330,-3.416907
-0.541644,-2.280421,-5.772559,-3.414909
-0.541965,-2.280816,-5.772787,-3.412911
-0.542287,-2.281211,-5.773013,-3.410915
-0.542609,-2.281606,-5.773239,-3.408919
-0.542930,-2.282000,-5.773463,-3.406924
-0.543252,-2.282395,-5.773686,-3.404929
-0.543574,-2.282789,-5.773908,-3.402936
-0.543896,-2.283183,-5.774130,-3.400943
-0.544217,-2.283577,-5.774350,-3.398951
-0.544539,-2.283971,-5.774569,-3.396960
-0.544861,-2.284365,-5.774787,-3.394970
-0.545183,-2.284758,-5.775003,-3.392980
-0.545504,-2.285151,-5.775219,-3.390991
-0.545826,-2.285545,-5.775434,-3.389003
-0.546148,-2.285937,-5.775648,-3.387016
-0.546470,-2.286330,-5.775860,-3.385030
-0.546792,-2.286723,-5.776072,-3.383044
-0.547114,-2.287115,-5.776282,-3.381059
-0.547435,-2.287507,-5.776491,-3.379075
-0.547757,-2.287899,-5.776700,-3.377092
-0.548079,-2.288291,-5.776907,-3.375109
-0.548401,-2.288683,-5.777113,-3.373128
-0.548723,-2.289075,-5.777318,-3.371147
-0.549045,-2.289466,-5.777522,-3.369166
-0.549367,-2.289857,-5.777725,-3.367187
-0.549689,-2.290248,-5.777926,-3.365209
-0.550011,-2.290639,-5.778127,-3.363231
-0.550332,-2.291029,-5.778327,-3.361254
-0.550654,-2.291420,-5.778525,-3.359277
-0.550976,-2.291810,-5.778723,-3.357302
-0.551298,-2.292200,-5.778919,-3.355327
-0.551620,-2.292590,-5.779115,-3.353354
-0.551942,-2.292980,-5.779309,-3.351381
-0.552264,-2.293370,-5.779502,-3.349408
-0.552586,-2.293759,-5.779694,-3.347437
-0.552908,-2.294148,-5.779885,-3.345466
-0.553230,-2.294537,-5.780075,-3.343496
-0.553552,-2.294926,-5.780264,-3.341527
-0.553874,-2.295315,-5.780452,-3.339559
-0.554196,-2.295704,-5.780638,-3.337591
-0.554518,-2.296092,-5.780824,-3.335624
-0.554840,-2.296480,-5.781008,-3.333659
-0.555162,-2.296868,-5.781192,-3.331693
-0.555484,-2.297256,-5.781374,-3.329729
-0.555806,-2.297644,-5.781555,-3.327765
-0.556129,-2.298031,-5.781736,-3.325803
-0.556451,-2.298419,-5.781915,-3.323841
-0.556773,-2.298806,-5.782093,-3.321880
-0.557095,-2.299193,-5.782270,-3.319919
-0.557417,-2.299580,-5.782446,-3.317960
-0.557739,-2.299966,-5.782620,-3.316001
-0.558061,-2.300353,-5.782794,-3.314043
-0.558383,-2.300739,-5.782967,-3.312086
-0.558705,-2.301125,-5.783138,-3.310129
-0.559027,-2.301511,-5.783309,-3.308174
-0.559350,-2.301897,-5.783478,-3.306219
-0.559672,-2.302282,-5.783646,-3.304265
-0.559994,-2.302668,-5.783814,-3.302312
-0.560316,-2.303053,-5.783980,-3.300359
-0.560638,-2.303438,-5.784145,-3.298408
-0.560960,-2.303823,-5.784309,-3.296457
-0.561282,-2.304208,-5.784472,-3.294507
-0.561605,-2.304592,-5.784633,-3.292558
-0.561927,-2.304977,-5.784794,-3.290609
-0.562249,-2.305361,-5.784954,-3.288662
-0.562571,-2.305745,-5.785112,-3.286715
-0.562893,-2.306129,-5.785270,-3.284769
-0.563216,-2.306512,-5.785426,-3.282824
-0.563538,-2.306896,-5.785581,-3.280879
-0.563860,-2.307279,-5.785736,-3.278936
-0.564182,-2.307662,-5.785889,-3.276993
-0.564504,-2.308045,-5.786041,-3.275051
-0.564827,-2.308428,-5.786192,-3.273110
-0.565149,-2.308811,-5.786341,-3.271169
-0.565471,-2.309193,-5.786490,-3.269230
-0.565793,-2.309575,-5.786638,-3.267291
-0.566115,-2.309958,-5.786784,-3.265353
-0.566438,-2.310340,-5.786930,-3.263416
-0.566760,-2.310721,-5.787074,-3.261479
-0.567082,-2.311103,-5.787218,-3.259544
-0.567404,-2.311484,-5.787360,-3.257609
-0.567727,-2.311865,-5.787501,-3.255675
-0.568049,-2.312247,-5.787641,-3.253742
-0.568371,-2.312627,-5.787780,-3.251810
-0.568693,-2.313008,-5.787918,-3.249878
-0.569016,-2.313389,-5.788055,-3.247947
-0.569338,-2.313769,-5.788190,-3.246017
-0.569660,-2.314149,-5.788325,-3.244088
-0.569982,-2.314529,-5.788458,-3.242160
-0.570305,-2.314909,-5.788591,-3.240232
-0.570627,-2.315289,-5.788722,-3.238306
-0.570949,-2.315668,-5.788852,-3.236380
-0.571271,-2.316048,-5.788982,-3.234455
-0.571594,-2.316427,-5.789110,-3.232531
-0.571916,-2.316806,-5.789237,-3.230607
-0.572238,-2.317184,-5.789363,-3.228685
-0.572561,-2.317563,-5.789487,-3.226763
-0.572883,-2.317942,-5.789611,-3.224842
-0.573205,-2.318320,-5.789734,-3.222921
-0.573527,-2.318698,-5.789855,-3.221002
-0.573850,-2.319076,-5.789976,-3.219083
-0.574172,-2.319454,-5.790095,-3.217166
-0.574494,-2.319831,-5.790213,-3.215249
-0.574817,-2.320209,-5.790330,-3.213333
-0.575139,-2.320586,-5.790446,-3.211417
-0.575461,-2.320963,-5.790561,-3.209503
-0.575783,-2.321340,-5.790675,-3.207589
-0.576106,-2.321716,-5.790788,-3.205676
-0.576428,-2.322093,-5.790900,-3.203764
-0.576750,-2.322469,-5.791010,-3.201853
-0.577073,-2.322846,-5.791120,-3.199942
-0.577395,-2.323222,-5.791228,-3.198033
-0.577717,-2.323597,-5.791336,-3.196124
-0.578039,-2.323973,-5.791442,-3.194216
-0.578362,-2.324349,-5.791547,-3.192309
-0.578684,-2.324724,-5.791651,-3.190402
-0.579006,-2.325099,-5.791754,-3.188497
-0.579329,-2.325474,-5.791856,-3.186592
-0.579651,-2.325849,-5.791957,-3.184688
-0.579973,-2.326223,-5.792056,-3.182785
-0.580296,-2.326598,-5.792155,-3.180883
-0.580618,-2.326972,-5.792252,-3.178981
-0.580940,-2.327346,-5.792349,-3.177080
-0.581262,-2.327720,-5.792444,-3.175181
-0.581585,-2.328094,-5.792538,-3.173281
-0.581907,-2.328468,-5.792631,-3.171383
-0.582229,-2.328841,-5.792723,-3.169486
-0.582552,-2.329214,-5.792814,-3.167589
-0.582874,-2.329587,-5.792904,-3.165694
-0.583196,-2.329960,-5.792993,-3.163799
-0.583518,-2.330333,-5.793081,-3.161904
-0.583841,-2.330705,-5.793167,-3.160011
-0.584163,-2.331078,-5.793253,-3.158119
-0.584485,-2.331450,-5.793337,-3.156227
-0.584807,-2.331822,-5.793420,-3.154336
-0.585130,-2.332194,-5.793502,-3.152446
-0.585452,-2.332565,-5.793583,-3.150557
-0.585774,-2.332937,-5.793663,-3.148669
-0.586097,-2.333308,-5.793742,-3.146781
-0.586419,-2.333679,-5.793820,-3.144894
-0.586741,-2.334050,-5.793897,-3.143008
-0.587063,-2.334421,-5.793972,-3.141123
-0.587386,-2.334792,-5.794047,-3.139239
-0.587708,-2.335162,-5.794120,-3.137355
-0.588030,-2.335533,-5.794192,-3.135473
-0.588352,-2.335903,-5.794264,-3.133591
-0.588675,-2.336273,-5.794334,-3.131710
-0.588997,-2.336642,-5.794403,-3.129830
-0.589319,-2.337012,-5.794471,-3.127951
-0.589641,-2.337381,-5.794537,-3.126072
-0.589964,-2.337751,-5.794603,-3.124194
-0.590286,-2.338120,-5.794668,-3.122317
-0.590608,-2.338489,-5.794731,-3.120441
-0.590930,-2.338857,-5.794794,-3.118566
-0.591252,-2.339226,-5.794855,-3.116692
-0.591575,-2.339594,-5.794915,-3.114818
-0.591897,-2.339962,-5.794974,-3.112945
-0.592219,-2.340330,-5.795032,-3.111074
-0.592541,-2.340698,-5.795089,-3.109202
-0.592863,-2.341066,-5.795145,-3.107332
-0.593186,-2.341433,-5.795200,-3.105463
-0.593508,-2.341801,-5.795254,-3.103594
-0.593830,-2.342168,-5.795306,-3.101726
-0.594152,-2.342535,-5.795358,-3.099859
-0.594474,-2.342902,-5.795408,-3.097993
-0.594796,-2.343268,-5.795457,-3.096128
-0.595119,-2.343635,-5.795505,-3.094263
-0.595441,-2.344001,-5.795552,-3.092400
-0.595763,-2.344367,-5.795598,-3.090537
-0.596085,-2.344733,-5.795643,-3.088675
-0.596407,-2.345099,-5.795687,-3.086814
-0.596729,-2.345465,-5.795730,-3.084953
-0.597052,-2.345830,-5.795771,-3.083094
-0.597374,-2.346195,-5.795812,-3.081235
-0.597696,-2.346560,-5.795851,-3.079377
-0.598018,-2.346925,-5.795889,-3.077520
-0.598340,-2.347290,-5.795926,-3.075664
-0.598662,-2.347655,-5.795962,-3.073809
-0.598984,-2.348019,-5.795997,-3.071954
-0.599306,-2.348383,-5.796031,-3.070101
-0.599628,-2.348747,-5.796064,-3.068248
